node_i,node_j,weight,roi_i_name,roi_i_network,roi_j_name,roi_j_network
17.0,119.0,0.5777512,LH_Vis_17,Visual,LH_Default_19,Default
23.0,25.0,0.5744323,LH_SomMot_3,Somatomotor,LH_SomMot_5,Somatomotor
115.0,116.0,0.54914415,LH_Default_15,Default,LH_Default_16,Default
8.0,107.0,0.54002076,LH_Vis_8,Visual,LH_Default_7,Default
44.0,149.0,0.53717655,LH_DorsAttn_4,DorsalAttn,RH_SomMot_9,Somatomotor
10.0,110.0,0.5334694,LH_Vis_10,Visual,LH_Default_10,Default
19.0,121.0,0.53214955,LH_Vis_19,Visual,RH_Vis_1,Visual
9.0,108.0,0.53150856,LH_Vis_9,Visual,LH_Default_8,Default
15.0,115.0,0.52975047,LH_Vis_15,Visual,LH_Default_15,Default
28.0,132.0,0.5295425,LH_SomMot_8,Somatomotor,RH_Vis_12,Visual
136.0,146.0,0.52570945,RH_Vis_16,Visual,RH_SomMot_6,Somatomotor
111.0,113.0,0.524118,LH_Default_11,Default,LH_Default_13,Default
12.0,111.0,0.5216762,LH_Vis_12,Visual,LH_Default_11,Default
183.0,195.0,0.5203176,RH_SalVentAttn_3,Salience,RH_SalVentAttn_15,Salience
22.0,23.0,0.5179848,LH_SomMot_2,Somatomotor,LH_SomMot_3,Somatomotor
15.0,116.0,0.5150222,LH_Vis_15,Visual,LH_Default_16,Default
95.0,197.0,0.51460016,LH_FrontPar_5,Frontoparietal,RH_SalVentAttn_17,Salience
9.0,109.0,0.5124578,LH_Vis_9,Visual,LH_Default_9,Default
18.0,120.0,0.5111936,LH_Vis_18,Visual,LH_Default_20,Default
35.0,62.0,0.5080892,LH_SomMot_15,Somatomotor,LH_SalVentAttn_2,Salience
13.0,103.0,0.5080137,LH_Vis_13,Visual,LH_Default_3,Default
195.0,196.0,0.50692713,RH_SalVentAttn_15,Salience,RH_SalVentAttn_16,Salience
103.0,108.0,0.5057011,LH_Default_3,Default,LH_Default_8,Default
110.0,111.0,0.5020332,LH_Default_10,Default,LH_Default_11,Default
20.0,124.0,0.50104076,LH_Vis_20,Visual,RH_Vis_4,Visual
102.0,110.0,0.49941364,LH_Default_2,Default,LH_Default_10,Default
35.0,138.0,0.49935597,LH_SomMot_15,Somatomotor,RH_Vis_18,Visual
17.0,154.0,0.49761012,LH_Vis_17,Visual,RH_SomMot_14,Somatomotor
12.0,108.0,0.49553913,LH_Vis_12,Visual,LH_Default_8,Default
13.0,111.0,0.49539897,LH_Vis_13,Visual,LH_Default_11,Default
33.0,136.0,0.49461192,LH_SomMot_13,Somatomotor,RH_Vis_16,Visual
119.0,154.0,0.49352527,LH_Default_19,Default,RH_SomMot_14,Somatomotor
13.0,114.0,0.49317336,LH_Vis_13,Visual,LH_Default_14,Default
104.0,110.0,0.49258086,LH_Default_4,Default,LH_Default_10,Default
46.0,154.0,0.49087074,LH_DorsAttn_6,DorsalAttn,RH_SomMot_14,Somatomotor
14.0,15.0,0.48898897,LH_Vis_14,Visual,LH_Vis_15,Visual
126.0,128.0,0.48814118,RH_Vis_6,Visual,RH_Vis_8,Visual
108.0,112.0,0.48691165,LH_Default_8,Default,LH_Default_12,Default
17.0,120.0,0.48624396,LH_Vis_17,Visual,LH_Default_20,Default
22.0,123.0,0.48502463,LH_SomMot_2,Somatomotor,RH_Vis_3,Visual
119.0,120.0,0.48409355,LH_Default_19,Default,LH_Default_20,Default
96.0,198.0,0.48214275,LH_FrontPar_6,Frontoparietal,RH_SalVentAttn_18,Salience
24.0,34.0,0.4811209,LH_SomMot_4,Somatomotor,LH_SomMot_14,Somatomotor
81.0,96.0,0.4805823,LH_Limbic_1,Limbic,LH_FrontPar_6,Frontoparietal
23.0,26.0,0.4802041,LH_SomMot_3,Somatomotor,LH_SomMot_6,Somatomotor
33.0,42.0,0.4798051,LH_SomMot_13,Somatomotor,LH_DorsAttn_2,DorsalAttn
12.0,113.0,0.47937107,LH_Vis_12,Visual,LH_Default_13,Default
138.0,140.0,0.47805014,RH_Vis_18,Visual,RH_Vis_20,Visual
34.0,123.0,0.47773352,LH_SomMot_14,Somatomotor,RH_Vis_3,Visual
9.0,112.0,0.4777159,LH_Vis_9,Visual,LH_Default_12,Default
4.0,8.0,0.47703862,LH_Vis_4,Visual,LH_Vis_8,Visual
10.0,13.0,0.47565916,LH_Vis_10,Visual,LH_Vis_13,Visual
147.0,149.0,0.4752036,RH_SomMot_7,Somatomotor,RH_SomMot_9,Somatomotor
12.0,13.0,0.47489867,LH_Vis_12,Visual,LH_Vis_13,Visual
18.0,49.0,0.47372827,LH_Vis_18,Visual,LH_DorsAttn_9,DorsalAttn
3.0,103.0,0.47259504,LH_Vis_3,Visual,LH_Default_3,Default
39.0,143.0,0.47194412,LH_SomMot_19,Somatomotor,RH_SomMot_3,Somatomotor
28.0,131.0,0.47137567,LH_SomMot_8,Somatomotor,RH_Vis_11,Visual
33.0,138.0,0.47109842,LH_SomMot_13,Somatomotor,RH_Vis_18,Visual
103.0,111.0,0.4708835,LH_Default_3,Default,LH_Default_11,Default
17.0,20.0,0.47084185,LH_Vis_17,Visual,LH_Vis_20,Visual
73.0,184.0,0.47069266,LH_SalVentAttn_13,Salience,RH_SalVentAttn_4,Salience
120.0,121.0,0.47060382,LH_Default_20,Default,RH_Vis_1,Visual
13.0,108.0,0.47041315,LH_Vis_13,Visual,LH_Default_8,Default
