roi_i,roi_j,consistency,roi_i_name,roi_i_network,roi_j_name,roi_j_network
198.0,199.0,0.0,RH_SalVentAttn_18,Salience,RH_SalVentAttn_19,Salience
0.0,1.0,0.0,Parcel_0,unknown,LH_Vis_1,Visual
0.0,2.0,0.0,Parcel_0,unknown,LH_Vis_2,Visual
0.0,3.0,0.0,Parcel_0,unknown,LH_Vis_3,Visual
0.0,4.0,0.0,Parcel_0,unknown,LH_Vis_4,Visual
0.0,5.0,0.0,Parcel_0,unknown,LH_Vis_5,Visual
0.0,6.0,0.0,Parcel_0,unknown,LH_Vis_6,Visual
0.0,7.0,0.0,Parcel_0,unknown,LH_Vis_7,Visual
0.0,8.0,0.0,Parcel_0,unknown,LH_Vis_8,Visual
0.0,9.0,0.0,Parcel_0,unknown,LH_Vis_9,Visual
0.0,10.0,0.0,Parcel_0,unknown,LH_Vis_10,Visual
0.0,11.0,0.0,Parcel_0,unknown,LH_Vis_11,Visual
193.0,198.0,0.0,RH_SalVentAttn_13,Salience,RH_SalVentAttn_18,Salience
193.0,197.0,0.0,RH_SalVentAttn_13,Salience,RH_SalVentAttn_17,Salience
193.0,196.0,0.0,RH_SalVentAttn_13,Salience,RH_SalVentAttn_16,Salience
193.0,195.0,0.0,RH_SalVentAttn_13,Salience,RH_SalVentAttn_15,Salience
193.0,194.0,0.0,RH_SalVentAttn_13,Salience,RH_SalVentAttn_14,Salience
192.0,199.0,0.0,RH_SalVentAttn_12,Salience,RH_SalVentAttn_19,Salience
192.0,198.0,0.0,RH_SalVentAttn_12,Salience,RH_SalVentAttn_18,Salience
192.0,197.0,0.0,RH_SalVentAttn_12,Salience,RH_SalVentAttn_17,Salience
192.0,196.0,0.0,RH_SalVentAttn_12,Salience,RH_SalVentAttn_16,Salience
192.0,195.0,0.0,RH_SalVentAttn_12,Salience,RH_SalVentAttn_15,Salience
192.0,194.0,0.0,RH_SalVentAttn_12,Salience,RH_SalVentAttn_14,Salience
192.0,193.0,0.0,RH_SalVentAttn_12,Salience,RH_SalVentAttn_13,Salience
191.0,199.0,0.0,RH_SalVentAttn_11,Salience,RH_SalVentAttn_19,Salience
191.0,198.0,0.0,RH_SalVentAttn_11,Salience,RH_SalVentAttn_18,Salience
191.0,197.0,0.0,RH_SalVentAttn_11,Salience,RH_SalVentAttn_17,Salience
191.0,196.0,0.0,RH_SalVentAttn_11,Salience,RH_SalVentAttn_16,Salience
0.0,44.0,0.0,Parcel_0,unknown,LH_DorsAttn_4,DorsalAttn
0.0,43.0,0.0,Parcel_0,unknown,LH_DorsAttn_3,DorsalAttn
0.0,42.0,0.0,Parcel_0,unknown,LH_DorsAttn_2,DorsalAttn
0.0,41.0,0.0,Parcel_0,unknown,LH_DorsAttn_1,DorsalAttn
0.0,40.0,0.0,Parcel_0,unknown,LH_SomMot_20,Somatomotor
0.0,39.0,0.0,Parcel_0,unknown,LH_SomMot_19,Somatomotor
0.0,38.0,0.0,Parcel_0,unknown,LH_SomMot_18,Somatomotor
0.0,37.0,0.0,Parcel_0,unknown,LH_SomMot_17,Somatomotor
0.0,36.0,0.0,Parcel_0,unknown,LH_SomMot_16,Somatomotor
0.0,35.0,0.0,Parcel_0,unknown,LH_SomMot_15,Somatomotor
0.0,34.0,0.0,Parcel_0,unknown,LH_SomMot_14,Somatomotor
0.0,33.0,0.0,Parcel_0,unknown,LH_SomMot_13,Somatomotor
0.0,32.0,0.0,Parcel_0,unknown,LH_SomMot_12,Somatomotor
0.0,31.0,0.0,Parcel_0,unknown,LH_SomMot_11,Somatomotor
